지금 뭐 하고 계세요?	지금 뭐 해?
주말은 잘 보내셨어요?	주말은 잘 보냈어?
뭐 드시고 싶으세요?	뭐 먹고 싶어?
도와주셔서 감사합니다.	도와줘서 고마워.
지금 계신 곳이 어디예요?	지금 있는 곳이 어디야?
좀 조용히 해 주시겠어요?	좀 조용히 해 줄래?
이 노래를 아십니까?	이 노래 알아?
조심해서 가십시오.	조심해서 가.
제가 처리하겠습니다.	내가 처리할게.
좋은 꿈 꾸십시오.	좋은 꿈 꿔.
궁금한 게 있으신가요?	궁금한 거 있어?
뭐라고 하셨어요?	뭐라고 했어?
저한테 말씀해 주십시오.	나한테 말해 줘.
이제 그만하시죠.	이제 그만해.
같이 가시죠.	같이 가자.
좀 늦을 것 같습니다.	좀 늦을 것 같아.
다음에는 꼭 참석하겠습니다.	다음에는 꼭 참석할게.
걱정하지 마십시오.	걱정하지 마.
혹시 길을 잃으셨어요?	혹시 길 잃었어?
다음에 다시 연락드리겠습니다.	다음에 다시 연락할게.
잠시 통화 괜찮으세요?	잠깐 통화 괜찮아?
무슨 일로 오셨어요?	무슨 일로 왔어?
저는 괜찮습니다.	나는 괜찮아.
어디가 아프세요?	어디가 아파?
편안하게 쉬세요.	편안하게 쉬어.
제가 도와드릴까요?	내가 도와줄까?
이제 곧 시작할게요.	이제 곧 시작할게.
한번 보여 주시겠어요?	한번 보여 줄래?
정말 대단하십니다.	정말 대단하다.
저도 끼워주십시오.	나도 끼워줘.
몇 시에 끝날까요?	몇 시에 끝날까?
혹시 담배 피우세요?	혹시 담배 펴?
다시 한번 해보겠습니다.	다시 한번 해볼게.
같이 저녁 드시겠어요?	같이 저녁 먹을래?
이거 어떻게 하는 건가요?	이거 어떻게 하는 거야?
댁이 어디세요?	집이 어디야?
저는 이만 물러가겠습니다.	나는 이만 물러갈게.
그분은 지금 안 계십니다.	그 사람은 지금 없어.
다음에 술 한잔 하시죠.	다음에 술 한잔 하자.
오늘 기분 어떠세요?	오늘 기분 어때?
이해가 되셨나요?	이해가 됐어?
제가 잘못했습니다.	내가 잘못했어.
어디로 가면 될까요?	어디로 가면 될까?
저 좀 깨워 주십시오.	
계속해서 시도해 보시겠어요?	계속해서 시도해 볼래?
지금 결정하시는 것이 좋겠습니다.	지금 결정하는 게 좋겠어.
회의는 몇 시에 시작하나요?	회의는 몇 시에 시작해?
지갑을 잃어버리신 건가요?	지갑을 잃어버린 거야?
저희와 함께 해 주십시오.	우리랑 같이 해 줘.
음악을 좀 줄여 주실 수 있나요?	음악을 좀 줄여 줄 수 있어?
다음에 다시 만나요.	다음에 다시 만나.
어제는 어디 가셨었어요?	어제는 어디 갔었어?
제가 처리할 수 있겠습니까?	내가 처리할 수 있겠어?
이 버튼을 누르시면 됩니다.	이 버튼을 누르면 돼.
기차 시간표를 확인해 보셨어요?	기차 시간표 확인해 봤어?
혹시 궁금한 점 없으세요?	혹시 궁금한 점 없어?
다음 주 월요일에 뵙겠습니다.	다음 주 월요일에 보자.
좀 더 크게 말씀해 주시겠어요?	좀 더 크게 말해 줄래?
어디서 이런 정보를 얻으셨어요?	어디서 이런 정보 얻었어?
저는 먼저 식사하겠습니다.	나 먼저 밥 먹을게.
커피에 설탕 넣으시겠어요?	커피에 설탕 넣을래?
이 일을 언제까지 끝내야 할까요?	이 일을 언제까지 끝내야 할까?
잠깐 산책 좀 하고 오시죠.	잠깐 산책 좀 하고 오자.
그 이야기는 들은 적이 없습니다.	그 이야기는 들은 적 없어.
이제 집으로 돌아가야 합니다.	이제 집으로 돌아가야 해.
저는 이 의견에 반대합니다.	나는 이 의견에 반대해.
지금 바로 시작해 주십시오.	지금 바로 시작해 줘.
어디에서 내리실 건가요?	어디서 내릴 거야?
늦게 연락드려 죄송합니다.	늦게 연락해서 미안해.
혹시 다른 대안은 없으십니까?	혹시 다른 대안은 없어?
제가 당신의 짐을 들어 드릴까요?	내가 네 짐을 들어 줄까?
오늘은 날씨가 정말 좋네요.	오늘은 날씨가 정말 좋다.
당신의 성공을 기원합니다.	네 성공을 기원해.
너무 당황하지 마십시오.	너무 당황하지 마.
몇 년생이세요?	몇 년생이야?
내일 아침 일찍 출발하겠습니다.	내일 아침 일찍 출발할게.
문 좀 닫아 주시겠어요?	문 좀 닫아 줄래?
뭐든지 말씀만 하십시오.	뭐든지 말만 해.
이 문제는 어떻게 할까요?	이 문제 어떻게 할까?
다음 기회에 같이 하시죠.	다음 기회에 같이 하자.
저는 퇴근하겠습니다.	나 퇴근할게.
이쪽으로 와서 앉으십시오.	이쪽으로 와서 앉아.
저를 기다리고 계셨나요?	나를 기다리고 있었어?
천천히 생각해 보십시오.	천천히 생각해 봐.
제가 한번 알아보겠습니다.	내가 한번 알아볼게.
그만 말씀해 주십시오.	그만 말해 줘.
이것에 대해 아는 사람 있습니까?	이것에 대해 아는 사람 있어?
저에게 솔직하게 말씀해 주십시오.	나에게 솔직하게 말해 줘.
잠시 후에 다시 전화 주십시오.	잠시 후에 다시 전화 줘.
제가 잘못 들은 건가요?	내가 잘못 들은 거야?
오늘은 이만 마무리하시죠.	오늘은 이만 마무리하자.
저를 따라 오십시오.	나를 따라 와.
혹시 누구세요?	혹시 누구야?
저랑 같이 노래 부르실래요?	나랑 같이 노래 부를래?
당신은 정말 운이 좋으십니다.	너는 정말 운이 좋다.
어디에 계셨던 거예요?	어디에 있었던 거야?
이 책 읽어 보셨어요?	이 책 읽어 봤어?
다음에 자세히 이야기 나누시죠.	다음에 자세히 이야기 나누자.
저는 할 말이 없습니다.	나는 할 말이 없어.
당신에게는 어떤 의미인가요?	너에게는 어떤 의미야?
이 사실을 알고 계셨습니까?	이 사실을 알고 있었어?
제게 마지막 기회를 주십시오.	나에게 마지막 기회를 줘.
지금 밖에 비가 오고 있나요?	지금 밖에 비가 오고 있어?
저는 잊어버렸습니다.	나는 잊어버렸어.
너무 늦지 않았으면 좋겠습니다.	너무 늦지 않았으면 좋겠어.
몇 시에 약속을 잡을까요?	몇 시에 약속을 잡을까?
저한테 화나셨어요?	나한테 화났어?
당신의 결정을 믿습니다.	네 결정을 믿어.
잠시 밖으로 나가겠습니다.	잠깐 밖으로 나갈게.
이 일을 함께 해 주십시오.	이 일을 함께 해 줘.
저도 잘 모르겠습니다.	나도 잘 모르겠어.
저 좀 내버려 두시겠어요?	나 좀 내버려 둘래?
어디쯤에서 만나는 게 좋을까요?	어디쯤에서 만나는 게 좋을까?
당신의 의견을 듣고 싶습니다.	네 의견을 듣고 싶어.
좀 더 생각해 보십시오.	좀 더 생각해 봐.
정말 감사합니다.	정말 고마워.
곧 다시 찾아뵙겠습니다.	곧 다시 찾아뵐게.
뭐라고 불러야 할까요?	뭐라고 불러야 할까?
이제 그만 가보시죠.	이제 그만 가보자.
지금 주문하시겠어요?	지금 주문할래?
저는 당신을 존경합니다.	나는 너를 존경해.
다음에는 더 잘 하겠습니다.	다음에는 더 잘 할게.
무슨 말씀이신지 알겠습니다.	무슨 말인지 알겠어.
당신의 하루는 어떠셨어요?	네 하루는 어땠어?
잠시 숨 좀 돌리시죠.	잠깐 숨 좀 돌리자.
저에게 책임을 맡겨 주십시오.	나에게 책임을 맡겨 줘.
너무 서두르지 마십시오.	너무 서두르지 마.
여기서 기다리시면 됩니다.	여기서 기다리면 돼.
이걸 좀 살펴봐 주십시오.	이걸 좀 살펴봐 줘.
다시 한번 확인 부탁드립니다.	다시 한번 확인 부탁해.
당신의 도움이 필요합니다.	네 도움이 필요해.
조금만 더 힘내십시오.	조금만 더 힘내.
저에게는 비밀로 해 주십시오.	나에게는 비밀로 해 줘.
오늘은 제가 대접하겠습니다.	오늘은 내가 쏠게.
너무 심려치 마십시오.	너무 심려하지 마.
여기서 내려 주시겠어요?	여기서 내려 줄래?
오늘 저녁에 시간 괜찮으세요?	오늘 저녁에 시간 괜찮아?
혹시 무슨 일 있으셨어요?	혹시 무슨 일 있었어?
제가 좀 늦을 것 같습니다.	내가 좀 늦을 것 같아.
다음에 다시 이야기하시죠.	다음에 다시 이야기하자.
잘 해내실 거라고 믿습니다.	잘 해낼 거라고 믿어.
어디로 가고 싶으세요?	어디로 가고 싶어?
이 일은 제가 맡겠습니다.	이 일은 내가 맡을게.
너무 수고하셨습니다.	너무 수고했어.
이거 한번 드셔 보시겠어요?	이거 한번 먹어 볼래?
제가 알아서 하겠습니다.	내가 알아서 할게.
지금 어디로 가시는 중이세요?	지금 어디로 가는 중이야?
당신의 마음은 어떠세요?	네 마음은 어때?
뭐 필요한 거 있으시면 말씀해 주십시오.	뭐 필요한 거 있으면 말해 줘.
제가 뭘 하면 좋을까요?	내가 뭘 하면 좋을까?
다시 한번 말씀해 주시겠어요?	다시 한번 말해 줄래?
잠깐 자리 좀 비우겠습니다.	잠깐 자리 좀 비울게.
저 좀 가르쳐 주십시오.	나 좀 가르쳐 줘.
당신의 조언이 필요합니다.	네 조언이 필요해.
이것이 최선인 것 같습니다.	이것이 최선인 것 같아.
오늘은 제가 운전하겠습니다.	오늘은 내가 운전할게.
이 일은 어떻게 됐어요?	이 일은 어떻게 됐어?
저는 아직 준비가 안 됐습니다.	나는 아직 준비가 안 됐어.
혹시 어디 아프신 곳 있으세요?	혹시 어디 아픈 곳 있어?
제가 한번 다시 시도해 볼게요.	내가 한번 다시 시도해 볼게.
같이 산책 좀 하시겠어요?	같이 산책 좀 할래?
이제는 마음을 정리하십시오.	이제는 마음을 정리해.
당신은 어떻게 생각하세요?	너는 어떻게 생각해?
저는 당신을 응원합니다.	나는 너를 응원해.
저에게 말할 기회를 주십시오.	나에게 말할 기회를 줘.
조용히 좀 해 주시겠어요?	조용히 좀 해 줄래?
다음 단계는 무엇일까요?	다음 단계는 뭘까?
제가 돕겠습니다.	내가 도울게.
잠시만 시간 내주십시오.	잠깐만 시간 내 줘.
저는 동의하기 어렵습니다.	나는 동의하기 어려워.
같이 가도 될까요?	같이 가도 될까?
제가 보기엔 괜찮습니다.	내가 보기엔 괜찮아.
저는 이제 쉬겠습니다.	나는 이제 쉴게.
무슨 일로 오셨어요?	무슨 일로 왔어?
너무 늦게까지 깨어있지 마십시오.	너무 늦게까지 깨어있지 마.
잠시 생각할 시간을 주시겠어요?	잠깐 생각할 시간 줄래?
당신에게는 어떤 계획이 있으세요?	너에게는 어떤 계획이 있어?
제가 당신에게 해 드릴 수 있는 일은요?	내가 너에게 해 줄 수 있는 일은?
이 문제에 대해 상의하시죠.	이 문제에 대해 상의하자.
저 좀 믿어 주십시오.	나 좀 믿어 줘.
제가 대신 전해 드리겠습니다.	내가 대신 전해 줄게.
저는 괜찮으니 신경 쓰지 마십시오.	나는 괜찮으니 신경 쓰지 마.
다시 시작해 볼까요?	다시 시작해 볼까?
너무 걱정이 되십니까?	너무 걱정이 돼?
그만하면 됐습니다.	그만하면 됐어.
제가 먼저 양보하겠습니다.	내가 먼저 양보할게.
언제 한번 만나서 이야기하시죠.	언제 한번 만나서 이야기하자.
당신이 제일 잘 하실 수 있습니다.	네가 제일 잘 할 수 있어.
저에게는 이것이 중요합니다.	나에게는 이것이 중요해.
이 정보를 확인해 보십시오.	이 정보 확인해 봐.
너무 우울해하지 마십시오.	너무 우울해하지 마.
제가 잘못 알고 있었나요?	내가 잘못 알고 있었어?
저에게 가르쳐 주십시오.	나에게 가르쳐 줘.
이 길로 가야 할까요?	이 길로 가야 할까?
당신이 자랑스럽습니다.	네가 자랑스럽다.
뭘 드릴까요?	뭘 줄까?
나중에 후회하지 마십시오.	나중에 후회하지 마.
어디로 가실 건가요?	어디로 갈 거야?
제가 늦게 와서 죄송합니다.	내가 늦게 와서 미안해.
다시 한번 기회를 주십시오.	다시 한번 기회를 줘.
너무 무리해서 일하지 마십시오.	너무 무리해서 일하지 마.
당신의 의견을 존중합니다.	네 의견을 존중해.
저를 도와주셔서 감사합니다.	나를 도와줘서 고마워.
이거 좀 빌려 주시겠어요?	이거 좀 빌려 줄래?
당신의 결정에 따르겠습니다.	네 결정에 따를게.
무엇을 도와드릴까요?	뭐 도와줄까?
이 일은 저희가 맡겠습니다.	이 일은 우리가 맡을게.
그만 주무십시오.	그만 자.
저를 기억하고 계시는군요.	나를 기억하고 있구나.
무엇을 드시겠어요?	무엇을 먹을래?
저는 상관없으니 편하실 대로 하십시오.	나는 상관없으니 편할 대로 해.
좀 더 쉬어야 할 것 같습니다.	좀 더 쉬어야 할 것 같아.
제발 부탁드립니다.	제발 부탁해.
정말 멋지십니다.	정말 멋지다.
다시 한번 생각해 보시죠.	다시 한번 생각해 보자.
이 문제에 집중해 주십시오.	이 문제에 집중해 줘.
저랑 같이 식사하시죠.	나랑 같이 밥 먹자.
푹 쉬세요.	푹 쉬어.
이 근처에 사시는군요.	이 근처에 사는구나.
당신의 선택이 중요합니다.	네 선택이 중요해.
제가 착각한 것 같습니다.	내가 착각한 것 같아.
비밀을 지켜 주십시오.	비밀을 지켜 줘.
다음에 또 만나 뵙겠습니다.	다음에 또 만나 보자.
이제 이해가 됩니다.	이제 이해가 돼.
저는 무조건 찬성합니다.	나는 무조건 찬성해.
이쪽으로 와 주십시오.	이쪽으로 와 줘.
언제쯤 만날까요?	언제쯤 만날까?
어디서 기다리는 게 좋을까요?	어디서 기다리는 게 좋을까?
언제쯤 도착하실 예정이세요?	언제쯤 도착할 예정이야?
제가 커피를 사 드릴게요.	내가 커피 사 줄게.
목마르지 않으세요?	목마르지 않아?
뭐 다른 건 없으세요?	뭐 다른 건 없어?
저에게 잠시 시간을 주십시오.	나에게 잠깐 시간을 줘.
언제 시간이 비시나요?	언제 시간이 비어?
저도 그렇게 해야겠습니다.	나도 그렇게 해야겠어.
제가 먼저 시작하겠습니다.	내가 먼저 시작할게.
너무 지쳐 보이십니다.	너무 지쳐 보여.
무슨 생각을 하고 계셨어요?	무슨 생각을 하고 있었어?
좋은 밤 되십시오.	좋은 밤 돼.
제게도 기회를 주시겠어요?	나에게도 기회를 줄래?
같이 술 한잔 하시겠어요?	같이 술 한잔 할래?
이 상황을 어떻게 해결할까요?	이 상황을 어떻게 해결할까?
저는 당신을 신뢰합니다.	나는 너를 신뢰해.
항상 건강하시기를 바랍니다.	항상 건강하기를 바라.
오늘 기분이 어떠세요?	오늘 기분 어때?
시간 괜찮으세요?	시간 괜찮아?
이거 좀 도와주시겠어요?	이거 좀 도와줄래?
지금 어디 계세요?	지금 어디야?
무엇을 하고 계셨나요?	뭐 하고 있었어?
저를 기억하시나요?	나 기억해?
커피 한잔 하실래요?	커피 한잔 할래?
날씨가 참 좋네요.	날씨 진짜 좋다.
이 근처에 사세요?	이 근처에 살아?
오늘 하루는 어떠셨나요?	오늘 하루 어땠어?
지금 가도 될까요?	지금 가도 돼?
식사하셨어요?	밥 먹었어?
전화해도 괜찮을까요?	전화해도 돼?
좋은 아침이에요.	좋은 아침이야.
기분이 좀 나아지셨나요?	기분 좀 나아졌어?
이 영화 보셨어요?	이 영화 봤어?
잘 주무셨어요?	잘 잤어?
퇴근하셨어요?	퇴근했어?
조심히 가세요.	조심히 가.
고맙습니다.	고마워.
죄송합니다.	미안해.
괜찮으세요?	괜찮아?
건강 조심하세요.	건강 조심해.
오늘도 힘내세요.	오늘도 힘내.
행복하시길 바랍니다.	행복하길 바라.
좋은 하루 보내세요.	좋은 하루 보내.
다음에 또 뵙겠습니다.	다음에 또 보자.
맛있게 드세요.	맛있게 먹어.
사진 잘 찍으셨네요.	사진 잘 찍었네.
오늘 일정 있으세요?	오늘 일정 있어?
시간 나시면 연락 주세요.	시간 나면 연락 줘.
천천히 말씀해주세요.	천천히 말해줘.
이해되셨나요?	이해됐어?
그렇게 생각하세요?	그렇게 생각해?
감기 조심하세요.	감기 조심해.
다녀오셨어요?	다녀왔어?
무슨 일 있으세요?	무슨 일 있어?
즐거운 주말 되세요.	즐거운 주말 보내.
오늘 컨디션 괜찮으세요?	오늘 컨디션 괜찮아?
회의 준비되셨나요?	회의 준비됐어?
지금 시간 괜찮으세요?	지금 시간 괜찮아?
도움이 필요하신가요?	도움 필요해?
어디 가시는 길이에요?	어디 가는 길이야?
지금 출발하시나요?	지금 출발해?
이 책 읽어보셨어요?	이 책 읽어봤어?
잠깐 이야기할 수 있을까요?	잠깐 이야기할 수 있을까?
사진 보내주실 수 있나요?	사진 보낼 수 있어?
이 노래 들어보셨어요?	이 노래 들어봤어?
무슨 생각 하세요?	무슨 생각 해?
오늘은 뭐 하실 계획이에요?	오늘은 뭐 할 거야?
저녁 드셨어요?	저녁 먹었어?
요즘 어떻게 지내세요?	요즘 어떻게 지내?
연락드려도 될까요?	연락해도 돼?
기다리게 해서 죄송합니다.	기다리게 해서 미안해.
정말 감사드립니다.	정말 고마워.
괜찮으시다면 같이 가시겠어요?	괜찮으면 같이 갈래?
조언해주셔서 감사합니다.	조언해줘서 고마워.
결정하셨어요?	결정했어?
지금 만나도 될까요?	지금 만나도 돼?
이해해주셔서 감사합니다.	이해해줘서 고마워.
기대하고 있겠습니다.	기대하고 있을게.
편안한 밤 되세요.	편안한 밤 보내.
이제 쉬세요.	이제 쉬어.
지금 뭐 하세요?	지금 뭐 해?
무슨 일로 오셨어요?	무슨 일로 왔어?
얼마나 걸리실 것 같아요?	얼마나 걸릴 것 같아?
저를 믿어주셔서 감사합니다.	나 믿어줘서 고마워.
함께 가시겠어요?	같이 갈래?
